Season,Crop,Records,Avg_Yield,Avg_Profit,Avg_Water_Efficiency,Avg_Risk
Kharif,Chilli,185,1.73,954380.42,3.26,52.81
Kharif,Cotton,215,1.37,216999.55,2.13,54.24
Kharif,Groundnut,193,1.48,108265.44,3.58,54.28
Kharif,Maize,234,2.97,-39332.67,6.05,54.82
Kharif,Pulses,221,1.04,43338.9,3.35,54.96
Kharif,Rice,314,2.71,-64903.4,2.17,54.25
Kharif,Sugarcane,125,53.46,1000790.81,36.0,54.02
Kharif,Wheat,292,2.25,-105871.87,4.76,55.58
Rabi,Chilli,163,1.46,638572.5,2.89,40.59
Rabi,Cotton,201,1.19,107343.59,1.94,41.54
Rabi,Groundnut,177,1.23,10416.54,2.9,39.76
Rabi,Maize,233,2.62,-89133.4,5.46,39.41
Rabi,Pulses,213,0.87,-14309.14,2.7,40.08
Rabi,Rice,274,2.33,-98427.87,1.84,40.79
Rabi,Sugarcane,129,43.95,731612.86,27.92,39.85
Rabi,Wheat,237,2.06,-119954.57,4.69,41.46
Zaid,Chilli,64,1.18,448659.09,2.2,40.5
Zaid,Cotton,92,0.94,-53925.34,1.49,36.34
Zaid,Groundnut,54,1.04,-68872.5,2.47,39.13
Zaid,Maize,84,2.28,-194049.17,4.75,36.68
Zaid,Pulses,62,0.65,-139227.81,1.95,38.97
Zaid,Rice,102,1.9,-227239.34,1.53,37.95
Zaid,Sugarcane,51,38.42,583635.8,23.39,38.35
Zaid,Wheat,85,1.75,-193208.95,4.02,39.16
